username,user id,access hash,group,group id
darbz1142dz,1623594765,-465815531989621943,Crypto Shiller,1613870380
djebsuuu,1591116554,466448984358319797,Crypto Shiller,1613870380
denizadalii,1403645948,4111951791642076577,Crypto Shiller,1613870380
belajaridup,1386064651,2254531386517681944,Crypto Shiller,1613870380
Emilyj34,1931709320,674657681981364368,Crypto Shiller,1613870380
Brunozil883,1828220409,1495011129288794638,Crypto Shiller,1613870380
Eris_trader,1062674478,3437973393004289445,Crypto Shiller,1613870380
Malhou97,893193214,-3303099521690197410,Crypto Shiller,1613870380
m777ody,661521853,-4547480147855978122,Crypto Shiller,1613870380
basedzenon,984547101,3582965052692221247,Crypto Shiller,1613870380
Mairazhunisbayeva,2023439078,-726760959085628839,Crypto Shiller,1613870380
Widiarta1234,5003665054,7798967922280391815,Crypto Shiller,1613870380
jayyylaz,995149218,-2568131437695011616,Crypto Shiller,1613870380
Roe_Cadwell312521,2030683389,-1350484495454063173,Crypto Shiller,1613870380
Kenneth_Abair264516,2033648629,8729355543473320435,Crypto Shiller,1613870380
Marrock_Ahern893411,2043228277,3668891094381781112,Crypto Shiller,1613870380
Sadie_Alarie609907,2022449524,4360708361908034602,Crypto Shiller,1613870380
Spalding_Arensdorf794641,2032753974,-4660142658001328632,Crypto Shiller,1613870380
Ardys_Eaton605176,2021208909,-7582206753507531017,Crypto Shiller,1613870380
Shirley_751475_487,1962156584,4251881855939425865,Crypto Shiller,1613870380
Tera_Jaco3997,2038633386,-7041611205907469757,Crypto Shiller,1613870380
Sadie_Jacobson106509,2044759137,228279348814653133,Crypto Shiller,1613870380
Ludlow_Abelson25665,2022279595,979757839575835449,Crypto Shiller,1613870380
Kaid_Jacques201404,2048190108,2177797096727486579,Crypto Shiller,1613870380
Myles_Allard339224,2011312171,-4837792053277245535,Crypto Shiller,1613870380
Mahogany_Agre816984,2015362560,-1080632427731468286,Crypto Shiller,1613870380
Carol_Arensdorf184014,2020927606,-648156488508735090,Crypto Shiller,1613870380
Sorilbran_Easlick348080,2021875725,-756907114260047990,Crypto Shiller,1613870380
morfin70aydin,5086968309,5781708457298100409,Crypto Shiller,1613870380
DDMars1,1715954553,849516420554316194,Crypto Shiller,1613870380
paul_blockchain,5081568077,-7273148811708702364,Crypto Shiller,1613870380
FBizznizz,1806523852,4260703196127741675,Crypto Shiller,1613870380
garfieldlovescrypto,1735153324,-5070371593498087347,Crypto Shiller,1613870380
Spsteeze,1387548489,2225538920728625378,Crypto Shiller,1613870380
Feng_lei,2101921115,3921711895994297279,Crypto Shiller,1613870380
Zakaria_chiba,1043201702,-3909283194263588851,Crypto Shiller,1613870380
dipeater,915513577,2263980274953964472,Crypto Shiller,1613870380
Harrymark89,5011032563,-3983890123729990784,Crypto Shiller,1613870380
,2109652447,-6735601679885284455,Crypto Shiller,1613870380
Olivierasantos,5018483999,-5981838811903349088,Crypto Shiller,1613870380
Sunilgaikwad163,1305616241,-5177986213311402400,Crypto Shiller,1613870380
alaanr8,5094167264,-2332068175437139813,Crypto Shiller,1613870380
Alexanderblake,5222122685,-982617113650815613,Crypto Shiller,1613870380
marketerdm,5094858152,-665163426715309452,Crypto Shiller,1613870380
slamcast,1299783859,3418193811794061736,Crypto Shiller,1613870380
miaka18,1846678625,1216808630817381954,Crypto Shiller,1613870380
ambarapuetra,1243966209,6081251398747683903,Crypto Shiller,1613870380
EmilyRose001,2001122302,-8204258580934157027,Crypto Shiller,1613870380
Abdultothemoon,5297604246,-5311221800040402431,Crypto Shiller,1613870380
